country,summer_participations,summer_gold,summer_silver,summer_bronze,summer_total,winter_participations,winter_gold,winter_silver,winter_bronze,winter_total,total_participation,total_gold,total_silver,total_bronze,total_total 
Sudan,13,0,1,0,1,0,0,0,0,0,13,0,1,0,1
Suriname,13,1,0,1,2,0,0,0,0,0,13,1,0,1,2
Sweden,28,148,176,179,503,24,65,51,60,176,52,213,227,239,679
Switzerland,29,53,79,74,206,24,63,47,58,168,53,116,126,132,374
Syria,14,1,1,2,4,0,0,0,0,0,14,1,1,2,4
Chinese Taipei,15,7,11,18,36,13,0,0,0,0,28,7,11,18,36
Tajikistan,7,1,1,2,4,4,0,0,0,0,11,1,1,2,4
Tanzania,14,0,2,0,2,0,0,0,0,0,14,0,2,0,2
Thailand,17,10,8,17,35,5,0,0,0,0,22,10,8,17,35
Togo,11,0,0,1,1,2,0,0,0,0,13,0,0,1,1
Tonga,10,0,1,0,1,2,0,0,0,0,12,0,1,0,1
Trinidad and Tobago,18,3,5,11,19,4,0,0,0,0,22,3,5,11,19
Tunisia,15,5,3,7,15,0,0,0,0,0,15,5,3,7,15
Turkey,23,41,26,37,104,18,0,0,0,0,41,41,26,37,104
Turkmenistan,7,0,1,0,1,0,0,0,0,0,7,0,1,0,1
Uganda,16,4,4,3,11,0,0,0,0,0,16,4,4,3,11
Ukraine,7,35,36,68,139,8,3,2,4,9,15,38,38,72,148
United Arab Emirates,10,1,0,1,2,0,0,0,0,0,10,1,0,1,2
United States,28,1060,831,738,2629,24,113,122,95,330,52,1173,953,833,2959
Uruguay,22,2,2,6,10,1,0,0,0,0,23,2,2,6,10
Uzbekistan,7,10,6,20,36,8,1,0,0,1,15,11,6,20,37
Venezuela,19,3,7,9,19,4,0,0,0,0,23,3,7,9,19
Vietnam,16,1,3,1,5,0,0,0,0,0,16,1,3,1,5
Virgin Islands,13,0,1,0,1,8,0,0,0,0,21,0,1,0,1
Yugoslavia,16,26,29,28,83,14,0,3,1,4,30,26,32,29,87
Zambia,14,0,1,1,2,0,0,0,0,0,14,0,1,1,2
Zimbabwe,14,3,4,1,8,1,0,0,0,0,15,3,4,1,8
Independent Olympic Athletes,3,1,0,1,2,0,0,0,0,0,3,1,0,1,2
Independent Olympic Participants ,1,0,1,2,3,0,0,0,0,0,1,0,1,2,3
Mixed Team ,3,11,6,8,25,0,0,0,0,0,3,11,6,8,25
